filename,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37
Il Pagante - Settimana Bianca.mp3,6.663072109222412,68.38105010986328,-2.5008459091186523,17.446346282958984,-0.7910404801368713,12.038687705993652,1.5066953897476196,2.754073143005371,-2.629511833190918,8.680442810058594,-0.26370373368263245,4.440869331359863,-0.41312935948371887,0.43366995453834534,0.3481696844100952,0.4781160056591034,0.3259485960006714,0.43216630816459656,0.5121131539344788,0.35032299160957336,0.384342759847641,0.403639554977417,0.5700443387031555,0.4373135268688202,0.3967626690864563,21.331382874176484,14.657315241564618,17.872204053632196,17.955184757912615,17.993300032948408,17.27549075274002,48.946400266646286,0.13356013342322948,2927.0583513447878,2741.1099391975717,6186.485507835176,0.3092760741710663
Il Pagante - Ultimo.mp3,2.511533260345459,60.1712760925293,-6.600761413574219,17.842750549316406,-0.24145185947418213,5.051767826080322,1.4332036972045898,3.3351409435272217,-3.0954201221466064,4.856605529785156,-1.9479188919067383,7.084051609039307,1.0235916376113892,0.4615078866481781,0.42024338245391846,0.5834823846817017,0.39484667778015137,0.3604857623577118,0.3789791762828827,0.3777676224708557,0.5489627718925476,0.3877681493759155,0.4000605642795563,0.44928598403930664,0.41165733337402344,20.18486652302676,15.197230732810635,17.979621899509496,17.02315768749139,16.741134641895073,17.140960213972246,47.79796377788586,0.13260378999975814,3021.353078223195,2771.191967619726,6327.3804891958325,0.2892599105834961
"Il Pagante, Stash - Open Bar.mp3",-35.2228889465332,64.54010009765625,14.701784133911133,22.18487548828125,4.181065559387207,9.360197067260742,3.5503742694854736,1.7637591361999512,-0.26931846141815186,4.458638668060303,-3.7180447578430176,5.206806659698486,-2.1452159881591797,0.386602520942688,0.456875205039978,0.4749888479709625,0.36520594358444214,0.43684670329093933,0.37826746702194214,0.5146835446357727,0.4274488091468811,0.42447754740715027,0.4917948246002197,0.4413810670375824,0.47707071900367737,21.18115487493399,14.990140081064256,17.77002018752128,17.62799054368931,18.029715254274574,17.994293473962024,47.99002094339831,0.11728661126765673,2988.5371018131045,2934.470236671836,6587.601832339638,0.26171618700027466
"Ilary Montanari, Flashmob - Morenita - Flashmob Remix.mp3",-139.5442352294922,81.93844604492188,17.309120178222656,41.354454040527344,18.523639678955078,21.137136459350586,10.254817962646484,13.323288917541504,4.945536136627197,6.58758544921875,0.768140971660614,4.492812156677246,0.11412157118320465,0.509242832660675,0.47592031955718994,0.46844738721847534,0.4914347231388092,0.5877630114555359,0.6675143241882324,0.5204042196273804,0.48929286003112793,0.5623340010643005,0.6189700961112976,0.6638026237487793,0.6052653193473816,20.69607749770725,14.67177900061328,14.942701286044942,13.837036647314191,14.639007095289028,15.802155448887701,47.92309210295777,0.06311583149912926,2033.4107746846817,2258.0398876803492,4197.753783423834,0.25203168392181396
"Imanbek, BYOR - Belly Dancer.mp3",-61.48237228393555,75.84503173828125,-1.2549920082092285,24.887556076049805,0.7494140267372131,5.95073127746582,-6.28675651550293,0.8786551356315613,-6.690836429595947,0.672165036201477,-4.516665935516357,3.9243462085723877,-1.7610721588134766,0.49809086322784424,0.3708380162715912,0.37962254881858826,0.40558210015296936,0.48819801211357117,0.5937451124191284,0.45116090774536133,0.5342119336128235,0.5377538800239563,0.42220720648765564,0.34136343002319336,0.40490034222602844,22.15737831181625,15.958930569074544,18.86399997989497,17.26600212285366,16.693026900206096,16.330322511844177,49.4985836718088,0.10108404484326626,2577.585907243798,2543.7649831743624,5444.256662658125,0.2500420808792114
"Infeed, INNERGATE - Freedom Inside Your Illness - LS41 Remix.mp3",5.047760963439941,95.33916473388672,-3.587489366531372,14.912934303283691,0.24307024478912354,11.854145050048828,3.5714032649993896,8.051098823547363,2.6375367641448975,6.447728157043457,1.2670879364013672,5.648181915283203,0.7056268453598022,0.5947911739349365,0.6426729559898376,0.6786133646965027,0.709206759929657,0.7115907669067383,0.7301636338233948,0.7261205315589905,0.6879546642303467,0.6559895277023315,0.6704859733581543,0.6612680554389954,0.625962495803833,19.20803006079392,10.82841028113803,12.654670325357632,13.899974501560465,15.69956497687214,15.274062133599207,47.72682525222882,0.07209177873452012,2350.1137288784803,2576.0754051313156,5253.676565069902,0.34929588437080383
"Ivana Spagna, NUZZLE - T'AMO T'AMO T'AMO.mp3",-63.526546478271484,97.19780731201172,7.010507106781006,19.667585372924805,-1.5445106029510498,13.293601036071777,0.7955509424209595,3.4856009483337402,-7.366430282592773,6.504269123077393,-5.2049078941345215,-3.407160520553589,-5.5568060874938965,0.530888020992279,0.38625672459602356,0.38088366389274597,0.4739378094673157,0.37833037972450256,0.4021304249763489,0.3662857711315155,0.49239814281463623,0.47107836604118347,0.42247289419174194,0.5057747960090637,0.4524688124656677,20.714713947761823,15.263067723540185,17.930479418357567,17.18421666226425,17.407596074720995,16.830118735664083,49.675331131376026,0.07738237410506967,2131.2123645120455,2393.7896977479954,4629.415756556272,0.28297361731529236
Iyaz - Replay.mp3,-55.242454528808594,62.55284881591797,1.7127870321273804,6.221614837646484,7.665947437286377,-3.290376901626587,-3.3192062377929688,8.890233039855957,-8.380423545837402,8.702674865722656,-1.4024953842163086,4.138306140899658,0.160260871052742,0.33201441168785095,0.4396268427371979,0.32807108759880066,0.3292468190193176,0.4497224688529968,0.3120894432067871,0.370952308177948,0.28161394596099854,0.37051522731781006,0.48490670323371887,0.3516082465648651,0.4336031973361969,19.56185822909787,16.17993355957816,19.861790355186344,18.082435532629468,18.29483422048458,17.784695791359965,48.2861136244743,0.13363278982440016,3138.852556029788,2963.849449453963,6939.716369817869,0.2004370242357254
J Balvin - Ginza.mp3,-91.4438705444336,101.21900939941406,-3.7502501010894775,16.740253448486328,4.3801116943359375,4.5068440437316895,-3.8534278869628906,0.3986986577510834,-2.110563278198242,1.211604118347168,-2.2583158016204834,0.5521288514137268,-2.857452869415283,0.4049680233001709,0.28317877650260925,0.2823277413845062,0.30551108717918396,0.31279096007347107,0.4391450583934784,0.3047500252723694,0.3849615156650543,0.4894266128540039,0.3259332776069641,0.4446951448917389,0.39161938428878784,21.248382774604824,16.46227594896617,19.080900092970275,17.896189250732718,18.57204903374675,17.996813444765262,46.0644423716065,0.07394078493856424,1999.1456116822926,2282.3042166695627,4214.8120136083835,0.23674793541431427
"J Balvin, Willy William - Mi Gente.mp3",-70.24324798583984,63.57941436767578,-1.7417075634002686,10.63602352142334,7.451364517211914,-6.4380202293396,-6.268039226531982,3.7694904804229736,-13.195802688598633,1.19016432762146,0.45154690742492676,2.3630104064941406,-0.3793005347251892,0.3135772943496704,0.3422582149505615,0.39213424921035767,0.41832324862480164,0.49141836166381836,0.3863295912742615,0.4796423316001892,0.39611855149269104,0.33406931161880493,0.3584885597229004,0.34806203842163086,0.4120939373970032,20.443238407128817,17.099257127691466,20.028035394722334,18.742818555722202,18.638694154973972,18.82944571793462,47.91223738730453,0.10357732152791216,2774.195368404293,2772.989168263897,5909.858013897119,0.2704526484012604
